Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,____ _______ _______,KG English,2
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,_____ ____,Learning Resources,10
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,_______ ____ _____,Learning Resources specialist,23
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,_________,Mathematics,359
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Moral Education,126
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Music,41
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,________ __________ ________ _______,National and Social Education,149
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,__ _____,Not Applied,11
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,____ ________,Optional Courses,1
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _______ ,Physical Education and Health,96
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,________,Physics,70
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,______ ______,Professional Skills,10
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,_____ ____,Special Education,91
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,Student Academic Mentoring,Student Academic Mentoring,1
2021-2022,_______ ________,Public,___ ______,Ras Al Khaimah,______ _______,Visual Arts,49
2021-2022,_______ ________,Public,_____,AJMAN,______ ________,Agricultural Sciences,2
2021-2022,_______ ________,Public,_____,AJMAN,Applied Engineering and Technology,Applied Engineering,4
2021-2022,_______ ________,Public,_____,AJMAN,_____ _______,Arabic Language,118
2021-2022,_______ ________,Public,_____,AJMAN,Aviation,Aviation,2
2021-2022,_______ ________,Public,_____,AJMAN,_______,Biology or Life Science,20
2021-2022,_______ ________,Public,_____,AJMAN,_____ _____,Business Management,10
2021-2022,_______ ________,Public,_____,AJMAN,________,Chemistry,21
2021-2022,_______ ________,Public,_____,AJMAN,_______,Chinese Language,10
2021-2022,_______ ________,Public,_____,AJMAN,____ _________,Computer Science,11
2021-2022,_______ ________,Public,_____,AJMAN,_______ ________ _________,Creative Design and Innovation,15
2021-2022,_______ ________,Public,_____,AJMAN,_____,Drama,18
2021-2022,_______ ________,Public,_____,AJMAN,Engineering Maintenance Electrical,Engineering Maintenance Electrical,1
2021-2022,_______ ________,Public,_____,AJMAN,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,4
2021-2022,_______ ________,Public,_____,AJMAN,_____ __________,English,140
2021-2022,_______ ________,Public,_____,AJMAN,Extra Curricular Activity,Extra Curricular Activity,1
2021-2022,_______ ________,Public,_____,AJMAN,____1,Field 1,36
2021-2022,_______ ________,Public,_____,AJMAN,____2,Field 2,33
2021-2022,_______ ________,Public,_____,AJMAN,Finance and Economics,Finance and Economics,3
2021-2022,_______ ________,Public,_____,AJMAN,________,French Language,1
2021-2022,_______ ________,Public,_____,AJMAN,____ ____,General Science,84
2021-2022,_______ ________,Public,_____,AJMAN,Health Science Technology,Health Science Technology,1
2021-2022,_______ ________,Public,_____,AJMAN,______ ______(____)/______ ______ (____),Health Science/Life Skills,9
2021-2022,_______ ________,Public,_____,AJMAN,______ ______,Health Sciences,5
2021-2022,_______ ________,Public,_____,AJMAN,_____ _______,Information Technology,64
2021-2022,_______ ________,Public,_____,AJMAN,_______ _________,Islamic Education,72
2021-2022,_______ ________,Public,_____,AJMAN,____ _______ ____,KG Arabic,89
2021-2022,_______ ________,Public,_____,AJMAN,____ _______ _______,KG English,2
2021-2022,_______ ________,Public,_____,AJMAN,_____ ____,Learning Resources,3
2021-2022,_______ ________,Public,_____,AJMAN,_______ ____ _____,Learning Resources specialist,5
2021-2022,_______ ________,Public,_____,AJMAN,_________,Mathematics,153
2021-2022,_______ ________,Public,_____,AJMAN,_______ _________,Moral Education,56
2021-2022,_______ ________,Public,_____,AJMAN,_______ _________,Music,12
2021-2022,_______ ________,Public,_____,AJMAN,________ __________ ________ _______,National and Social Education,65
2021-2022,_______ ________,Public,_____,AJMAN,_______ _______ ,Physical Education and Health,51
2021-2022,_______ ________,Public,_____,AJMAN,________,Physics,27
2021-2022,_______ ________,Public,_____,AJMAN,______ ______,Professional Skills,7
2021-2022,_______ ________,Public,_____,AJMAN,_____ ____,Special Education,37
2021-2022,_______ ________,Public,_____,AJMAN,______ _______,Visual Arts,22
2020-2021,_______ ________,Public,______,ABU DHABI,______ ________,Agricultural Sciences,3
2020-2021,_______ ________,Public,______,ABU DHABI,Applied Engineering and Technology,Applied Engineering,1
2020-2021,_______ ________,Public,______,ABU DHABI,Applied Engineering Electrical,Applied Engineering Electrical,1
2020-2021,_______ ________,Public,______,ABU DHABI,_____ _______,Arabic Language,764
2020-2021,_______ ________,Public,______,ABU DHABI,Aviation,Aviation,5
2020-2021,_______ ________,Public,______,ABU DHABI,_______,Biology or Life Science,148
2020-2021,_______ ________,Public,______,ABU DHABI,_____ _____,Business Management,113
2020-2021,_______ ________,Public,______,ABU DHABI,________,Chemistry,128
2020-2021,_______ ________,Public,______,ABU DHABI,_______,Chinese Language,72
2020-2021,_______ ________,Public,______,ABU DHABI,____ _________,Computer Science,70
2020-2021,_______ ________,Public,______,ABU DHABI,______ _________,Creative Arts,2
2020-2021,_______ ________,Public,______,ABU DHABI,_______ ________ _________,Creative Design and Innovation,252
2020-2021,_______ ________,Public,______,ABU DHABI,_____,Drama,195
2020-2021,_______ ________,Public,______,ABU DHABI,Engineering Maintenance Electrical,Engineering Maintenance Electrical,8
2020-2021,_______ ________,Public,______,ABU DHABI,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,2
2020-2021,_______ ________,Public,______,ABU DHABI,_____ __________,English,666
2020-2021,_______ ________,Public,______,ABU DHABI,______ _____ ________,Environmental Health and Safety,6
2020-2021,_______ ________,Public,______,ABU DHABI,Extra Curricular Activity,Extra Curricular Activity,2
2020-2021,_______ ________,Public,______,ABU DHABI,____1,Field 1,241
2020-2021,_______ ________,Public,______,ABU DHABI,____2,Field 2,244
2020-2021,_______ ________,Public,______,ABU DHABI,Finance and Economics,Finance and Economics,1
2020-2021,_______ ________,Public,______,ABU DHABI,________ ________ - ______ ________,Food Science Specialized Skills,3
2020-2021,_______ ________,Public,______,ABU DHABI,________,French Language,9
2020-2021,_______ ________,Public,______,ABU DHABI,____ ____,General Science,626
2020-2021,_______ ________,Public,______,ABU DHABI,______ ______(____)/______ ______ (____),Health Science/Life Skills,24
2020-2021,_______ ________,Public,______,ABU DHABI,______ ______,Health Sciences,67
2020-2021,_______ ________,Public,______,ABU DHABI,_______,History,1
2020-2021,_______ ________,Public,______,ABU DHABI,_____ _______,Information Technology,273
2020-2021,_______ ________,Public,______,ABU DHABI,_______ _________,Islamic Education,558
2020-2021,_______ ________,Public,______,ABU DHABI,____ _______ ____,KG Arabic,582
2020-2021,_______ ________,Public,______,ABU DHABI,____ _______ _______,KG English,140
2020-2021,_______ ________,Public,______,ABU DHABI,_____ ____,Learning Resources,12
2020-2021,_______ ________,Public,______,ABU DHABI,_________,Mathematics,925
2020-2021,_______ ________,Public,______,ABU DHABI,_______ _________,Moral Education,484
2020-2021,_______ ________,Public,______,ABU DHABI,_______ _________,Music,139
2020-2021,_______ ________,Public,______,ABU DHABI,________ __________ ________ _______,National and Social Education,335
2020-2021,_______ ________,Public,______,ABU DHABI,__ _____,Not Applied,560
2020-2021,_______ ________,Public,______,ABU DHABI,____ ________,Optional Courses,3
2020-2021,_______ ________,Public,______,ABU DHABI,_______ _______ ,Physical Education and Health,306
2020-2021,_______ ________,Public,______,ABU DHABI,________,Physics,167
2020-2021,_______ ________,Public,______,ABU DHABI,______ ______,Professional Skills,50
2020-2021,_______ ________,Public,______,ABU DHABI,___ _____/___ ________,Psychology/Sociology,8
2020-2021,_______ ________,Public,______,ABU DHABI,_____ ____,Special Education,351
2020-2021,_______ ________,Public,______,ABU DHABI,______ ________,Sports Sciences,3
2020-2021,_______ ________,Public,______,ABU DHABI,Student Academic Mentoring,Student Academic Mentoring,1
2020-2021,_______ ________,Public,______,ABU DHABI,______ _______,Visual Arts,172
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_____ _______,Arabic Language,59
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______,Biology or Life Science,18
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_____ _____,Business Management,9
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,________,Chemistry,15
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______,Chinese Language,5
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,____ _________,Computer Science,7
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______ ________ _________,Creative Design and Innovation,18
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_____,Drama,9
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,Engineering Maintenance Electrical,Engineering Maintenance Electrical,2
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_____ __________,English,72
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,____1,Field 1,21
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,____2,Field 2,17
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,________,French Language,1
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,General Science,46
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,______ ______(____)/______ ______ (____),Health Science/Life Skills,3
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,______ ______,Health Sciences,7
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______,History,1
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_____ _______,Information Technology,37
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______ _________,Islamic Education,44
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,____ _______ ____,KG Arabic,37
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_____ ____,Learning Resources,5
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_________,Mathematics,79
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______ _________,Moral Education,32
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______ _________,Music,3
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,________ __________ ________ _______,National and Social Education,49
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_______ _______ ,Physical Education and Health,25
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,________,Physics,21
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,______ ______,Professional Skills,6
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,_____ ____,Special Education,20
2020-2021,_______ ________,Public,__ _______,Umm Al Quwain,______ _______,Visual Arts,14
2020-2021,_______ ________,Public,_______,SHARJAH,______ ________,Agricultural Sciences,4
2020-2021,_______ ________,Public,_______,SHARJAH,Applied Engineering and Technology,Applied Engineering,2
2020-2021,_______ ________,Public,_______,SHARJAH,Applied Engineering Electrical,Applied Engineering Electrical,1
2020-2021,_______ ________,Public,_______,SHARJAH,Applied Engineering Mechanical,Applied Engineering Mechanical,3
2020-2021,_______ ________,Public,_______,SHARJAH,_____ _______,Arabic Language,194
2020-2021,_______ ________,Public,_______,SHARJAH,Aviation,Aviation,2
2020-2021,_______ ________,Public,_______,SHARJAH,_______,Biology or Life Science,50
2020-2021,_______ ________,Public,_______,SHARJAH,_____ _____,Business Management,32
2020-2021,_______ ________,Public,_______,SHARJAH,________,Chemistry,49
2020-2021,_______ ________,Public,_______,SHARJAH,_______,Chinese Language,35
2020-2021,_______ ________,Public,_______,SHARJAH,____ _________,Computer Science,27
2020-2021,_______ ________,Public,_______,SHARJAH,______ _________,Creative Arts,4
2020-2021,_______ ________,Public,_______,SHARJAH,_______ ________ _________,Creative Design and Innovation,48
2020-2021,_______ ________,Public,_______,SHARJAH,_____,Drama,47
2020-2021,_______ ________,Public,_______,SHARJAH,__________,Earth/Space Science/Geology,1
2020-2021,_______ ________,Public,_______,SHARJAH,_______,Engineering,2
2020-2021,_______ ________,Public,_______,SHARJAH,Engineering Maintenance Electrical,Engineering Maintenance Electrical,4
2020-2021,_______ ________,Public,_______,SHARJAH,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,5
2020-2021,_______ ________,Public,_______,SHARJAH,_____ __________,English,278
2020-2021,_______ ________,Public,_______,SHARJAH,______ _____ ________,Environmental Health and Safety,1
2020-2021,_______ ________,Public,_______,SHARJAH,Extra Curricular Activity,Extra Curricular Activity,9
2020-2021,_______ ________,Public,_______,SHARJAH,____1,Field 1,62
2020-2021,_______ ________,Public,_______,SHARJAH,____2,Field 2,55
2020-2021,_______ ________,Public,_______,SHARJAH,Finance and Economics,Finance and Economics,1
2020-2021,_______ ________,Public,_______,SHARJAH,________,French Language,3
2020-2021,_______ ________,Public,_______,SHARJAH,____ ____,General Science,178
2020-2021,_______ ________,Public,_______,SHARJAH,______ ______(____)/______ ______ (____),Health Science/Life Skills,17
2020-2021,_______ ________,Public,_______,SHARJAH,______ ______,Health Sciences,19
2020-2021,_______ ________,Public,_______,SHARJAH,_____ _______,Information Technology,134
2020-2021,_______ ________,Public,_______,SHARJAH,_______ _________,Islamic Education,128
2020-2021,_______ ________,Public,_______,SHARJAH,____ _______ ____,KG Arabic,143
2020-2021,_______ ________,Public,_______,SHARJAH,_____ ____,Learning Resources,1
2020-2021,_______ ________,Public,_______,SHARJAH,_________,Mathematics,288
2020-2021,_______ ________,Public,_______,SHARJAH,_______ _________,Moral Education,186
2020-2021,_______ ________,Public,_______,SHARJAH,_______ _________,Music,6
2020-2021,_______ ________,Public,_______,SHARJAH,________ __________ ________ _______,National and Social Education,148
2020-2021,_______ ________,Public,_______,SHARJAH,__ _____,Not Applied,2
2020-2021,_______ ________,Public,_______,SHARJAH,____ ________,Optional Courses,3
2020-2021,_______ ________,Public,_______,SHARJAH,_______ _______ ,Physical Education and Health,100
2020-2021,_______ ________,Public,_______,SHARJAH,________,Physics,67
2020-2021,_______ ________,Public,_______,SHARJAH,______ ______,Professional Skills,28
2020-2021,_______ ________,Public,_______,SHARJAH,Senior Graduation Project,Senior Graduation Project,1
2020-2021,_______ ________,Public,_______,SHARJAH,_____ ____,Special Education,54
2020-2021,_______ ________,Public,_______,SHARJAH,______ ________,Sports Sciences,4
2020-2021,_______ ________,Public,_______,SHARJAH,______ _______,Visual Arts,34
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ ________,Agricultural Sciences,2
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _______,Arabic Language,137
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,Aviation,Aviation,1
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______,Biology or Life Science,26
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _____,Business Management,12
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,________,Chemistry,23
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______,Chinese Language,8
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _________,Computer Science,8
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ ________ _________,Creative Design and Innovation,17
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____,Drama,40
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,Engineering Maintenance Electrical,Engineering Maintenance Electrical,1
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ __________,English,176
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,Extra Curricular Activity,Extra Curricular Activity,7
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____1,Field 1,40
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____2,Field 2,37
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,________,French Language,1
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,General Science,121
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______,Geography/Economics,1
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ ______(____)/______ ______ (____),Health Science/Life Skills,6
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ ______,Health Sciences,14
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _______,Information Technology,100
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ _________,Islamic Education,111
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _______ ____,KG Arabic,102
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ ____,Learning Resources,4
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_________,Mathematics,194
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ _________,Moral Education,79
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ _________,Music,7
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,________ __________ ________ _______,National and Social Education,98
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,__ _____,Not Applied,1
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ _______ ,Physical Education and Health,55
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,________,Physics,39
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ ______,Professional Skills,4
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ ____,Special Education,39
2020-2021,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ _______,Visual Arts,19
2020-2021,_______ ________,Public,______,AL DHAFRA,Applied Engineering and Technology,Applied Engineering,1
2020-2021,_______ ________,Public,______,AL DHAFRA,Applied Engineering Mechanical,Applied Engineering Mechanical,1
2020-2021,_______ ________,Public,______,AL DHAFRA,_____ _______,Arabic Language,174
2020-2021,_______ ________,Public,______,AL DHAFRA,_______,Biology or Life Science,32
2020-2021,_______ ________,Public,______,AL DHAFRA,_____ _____,Business Management,34
2020-2021,_______ ________,Public,______,AL DHAFRA,________,Chemistry,29
2020-2021,_______ ________,Public,______,AL DHAFRA,_______,Chinese Language,17
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _________,Computer Science,23
2020-2021,_______ ________,Public,______,AL DHAFRA,_______ ________ _________,Creative Design and Innovation,37
2020-2021,_______ ________,Public,______,AL DHAFRA,Creative Media Production,Creative Media Production,1
2020-2021,_______ ________,Public,______,AL DHAFRA,_____,Drama,43
2020-2021,_______ ________,Public,______,AL DHAFRA,Engineering Maintenance Electrical,Engineering Maintenance Electrical,1
2020-2021,_______ ________,Public,______,AL DHAFRA,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,3
2020-2021,_______ ________,Public,______,AL DHAFRA,_____ __________,English,161
2020-2021,_______ ________,Public,______,AL DHAFRA,Extra Curricular Activity,Extra Curricular Activity,42
2020-2021,_______ ________,Public,______,AL DHAFRA,____1,Field 1,52
2020-2021,_______ ________,Public,______,AL DHAFRA,____2,Field 2,39
2020-2021,_______ ________,Public,______,AL DHAFRA,________,French Language,3
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ____,General Science,132
2020-2021,_______ ________,Public,______,AL DHAFRA,Health Science Technology,Health Science Technology,1
2020-2021,_______ ________,Public,______,AL DHAFRA,______ ______(____)/______ ______ (____),Health Science/Life Skills,11
2020-2021,_______ ________,Public,______,AL DHAFRA,______ ______,Health Sciences,41
2020-2021,_______ ________,Public,______,AL DHAFRA,_____ _______,Information Technology,53
2020-2021,_______ ________,Public,______,AL DHAFRA,_______ _________,Islamic Education,127
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _______ ____,KG Arabic,85
2020-2021,_______ ________,Public,______,AL DHAFRA,____ _______ _______,KG English,10
2020-2021,_______ ________,Public,______,AL DHAFRA,_____ ____,Learning Resources,2
2020-2021,_______ ________,Public,______,AL DHAFRA,_________,Mathematics,179
2020-2021,_______ ________,Public,______,AL DHAFRA,_______ _________,Moral Education,86
2020-2021,_______ ________,Public,______,AL DHAFRA,_______ _________,Music,32
2020-2021,_______ ________,Public,______,AL DHAFRA,________ __________ ________ _______,National and Social Education,64
2020-2021,_______ ________,Public,______,AL DHAFRA,__ _____,Not Applied,71
2020-2021,_______ ________,Public,______,AL DHAFRA,____ ________,Optional Courses,4
2020-2021,_______ ________,Public,______,AL DHAFRA,_______ _______ ,Physical Education and Health,49
2020-2021,_______ ________,Public,______,AL DHAFRA,________,Physics,43
2020-2021,_______ ________,Public,______,AL DHAFRA,______ ______,Professional Skills,21
2020-2021,_______ ________,Public,______,AL DHAFRA,___ _____/___ ________,Psychology/Sociology,1
2020-2021,_______ ________,Public,______,AL DHAFRA,_____ ____,Special Education,49
2020-2021,_______ ________,Public,______,AL DHAFRA,______ ________,Sports Sciences,1
2020-2021,_______ ________,Public,______,AL DHAFRA,______ _______,Visual Arts,49
2020-2021,_______ ________,Public,_____,AL AIN,______ ________,Agricultural Sciences,6
2020-2021,_______ ________,Public,_____,AL AIN,Applied Engineering Electrical,Applied Engineering Electrical,1
2020-2021,_______ ________,Public,_____,AL AIN,Applied Engineering Mechanical,Applied Engineering Mechanical,1
2020-2021,_______ ________,Public,_____,AL AIN,_____ _______,Arabic Language,888
2020-2021,_______ ________,Public,_____,AL AIN,Aviation,Aviation,2
2020-2021,_______ ________,Public,_____,AL AIN,_______,Biology or Life Science,140
2020-2021,_______ ________,Public,_____,AL AIN,_____ _____,Business Management,109
2020-2021,_______ ________,Public,_____,AL AIN,________,Chemistry,138
2020-2021,_______ ________,Public,_____,AL AIN,_______,Chinese Language,30
2020-2021,_______ ________,Public,_____,AL AIN,____ _________,Computer Science,76
2020-2021,_______ ________,Public,_____,AL AIN,Computing and Artificial Intelligence,Computing and Artificial Intelligence,3
2020-2021,_______ ________,Public,_____,AL AIN,______ _________,Creative Arts,26
2020-2021,_______ ________,Public,_____,AL AIN,_______ ________ _________,Creative Design and Innovation,181
2020-2021,_______ ________,Public,_____,AL AIN,_____,Drama,186
2020-2021,_______ ________,Public,_____,AL AIN,_______,Engineering,1
2020-2021,_______ ________,Public,_____,AL AIN,Engineering Maintenance Electrical,Engineering Maintenance Electrical,3
2020-2021,_______ ________,Public,_____,AL AIN,_____ __________,English,627
2020-2021,_______ ________,Public,_____,AL AIN,Extra Curricular Activity,Extra Curricular Activity,12
2020-2021,_______ ________,Public,_____,AL AIN,____1,Field 1,249
2020-2021,_______ ________,Public,_____,AL AIN,____2,Field 2,217
2020-2021,_______ ________,Public,_____,AL AIN,Finance and Economics,Finance and Economics,1
2020-2021,_______ ________,Public,_____,AL AIN,________,French Language,7
2020-2021,_______ ________,Public,_____,AL AIN,____ ____,General Science,600
2020-2021,_______ ________,Public,_____,AL AIN,Health Science Technology,Health Science Technology,1
2020-2021,_______ ________,Public,_____,AL AIN,______ ______(____)/______ ______ (____),Health Science/Life Skills,24
2020-2021,_______ ________,Public,_____,AL AIN,______ ______,Health Sciences,70
2020-2021,_______ ________,Public,_____,AL AIN,_____ _______,Information Technology,246
2020-2021,_______ ________,Public,_____,AL AIN,_______ _________,Islamic Education,633
2020-2021,_______ ________,Public,_____,AL AIN,____ _______ ____,KG Arabic,531
2020-2021,_______ ________,Public,_____,AL AIN,____ _______ _______,KG English,77
2020-2021,_______ ________,Public,_____,AL AIN,_____ ____,Learning Resources,11
2020-2021,_______ ________,Public,_____,AL AIN,_________,Mathematics,875
2020-2021,_______ ________,Public,_____,AL AIN,_______ _________,Moral Education,448
2020-2021,_______ ________,Public,_____,AL AIN,_______ _________,Music,121
2020-2021,_______ ________,Public,_____,AL AIN,________ __________ ________ _______,National and Social Education,426
2020-2021,_______ ________,Public,_____,AL AIN,__ _____,Not Applied,558
2020-2021,_______ ________,Public,_____,AL AIN,____ ________,Optional Courses,4
2020-2021,_______ ________,Public,_____,AL AIN,_______ _______ ,Physical Education and Health,226
2020-2021,_______ ________,Public,_____,AL AIN,________,Physics,167
2020-2021,_______ ________,Public,_____,AL AIN,______ ______,Professional Skills,35
2020-2021,_______ ________,Public,_____,AL AIN,___ _____/___ ________,Psychology/Sociology,15
2020-2021,_______ ________,Public,_____,AL AIN,_____ ____,Special Education,263
2020-2021,_______ ________,Public,_____,AL AIN,______ ________,Sports Sciences,3
2020-2021,_______ ________,Public,_____,AL AIN,Student Academic Mentoring,Student Academic Mentoring,1
2020-2021,_______ ________,Public,_____,AL AIN,______ _______,Visual Arts,153
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_____ _______,Arabic Language,204
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,Aviation,Aviation,3
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_______,Biology or Life Science,44
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_____ _____,Business Management,22
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,________,Chemistry,41
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_______,Chinese Language,4
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____ _________,Computer Science,17
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,______ _________,Creative Arts,1
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_______ ________ _________,Creative Design and Innovation,47
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_____,Drama,34
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_____ __________,English,254
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,Extra Curricular Activity,Extra Curricular Activity,14
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____1,Field 1,55
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____2,Field 2,52
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,________,French Language,1
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____ ____,General Science,148
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,______ ______(____)/______ ______ (____),Health Science/Life Skills,15
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,______ ______,Health Sciences,17
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_____ _______,Information Technology,127
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_______ _________,Islamic Education,150
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____ _______ ____,KG Arabic,172
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_____ ____,Learning Resources,1
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_________,Mathematics,273
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_______ _________,Moral Education,170
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_______ _________,Music,6
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,________ __________ ________ _______,National and Social Education,165
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,____ ________,Optional Courses,1
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_______ _______ ,Physical Education and Health,78
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,________,Physics,63
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,______ ______,Professional Skills,7
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,_____ ____,Special Education,60
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,______ ________,Sports Sciences,1
2020-2021,_______ ________,Public,_______,AL FUJAIRAH,______ _______,Visual Arts,23
2020-2021,_______ ________,Public,___,DUBAI,______ ________,Agricultural Sciences,5
2020-2021,_______ ________,Public,___,DUBAI,Applied Engineering and Technology,Applied Engineering,3
2020-2021,_______ ________,Public,___,DUBAI,Applied Engineering Electrical,Applied Engineering Electrical,1
